price,url,title,Anyag,Nyaklánc kapocs,Motívum,Célcsoport,Ékszer súlya,Tisztaság,Arany színe,Hossz,Szélesség,Magasság,Kő
56510,https://www.aekszerek.hu//arany/nyaklancok/noi/heratis-nyaklanc-p144023.html,"Nyaklánc szívvel iGold, nőknek (IZ19400M) | aEkszerek.hu",Arany 14K,rugós kapocs,,Női,1.65 gramm,"0,585",Sárga arany,Válassza ki a méretet,12 mm,12,Cirkon
60830,https://www.aekszerek.hu//arany/nyaklancok/noi/arany-nyaklanc-az-elet-faja-p155929.html,"Arany nyaklánc Az élet fája, nőknek (IZ19888BNH) | aEkszerek.hu",Arany 14K,rugós kapocs,Életfával,Női,1.68 gramm,"0,585",Sárga arany,Válassza ki a méretet,13 mm,m 18 mm,
30230,https://www.aekszerek.hu//arany/nyaklancok/noi/arany-nyaklanc-m-betuvel-p156192.html,"Arany nyaklánc M betűvel, nőknek (IZ24447M) | aEkszerek.hu",Arany 14K,rugós kapocs,betű,Női,0.53 gramm,"0,585",Sárga arany,Válassza ki a méretet,5 mm,6 mm,
54620,https://www.aekszerek.hu//arany/nyaklancok/noi/arany-nyaklanc-kereszttel-p155936.html,"Arany nyaklánc kereszttel, nőknek (IZ22978BNH) | aEkszerek.hu",Arany 14K,rugós kapocs,Keresztek,Női,1.56 gramm,"0,585",Sárga arany,Válassza ki a méretet,,10 mm,
66630,https://www.aekszerek.hu//arany/nyaklancok/noi/arany-nyaklanc-eletfa-golyocskakkal-p155442.html,"Arany nyaklánc Életfa golyócskákkal, nőknek (IZ24221NH) | aEkszerek.hu",Arany 14K,rugós kapocs,Életfával,Női,2.03 gramm,"0,585",Sárga arany,Válassza ki a méretet,10 mm,10 mm,
44270,https://www.aekszerek.hu//arany/nyaklancok/medallal/arany-nyaklanc-sziv-medallal-p132598.html,"Arany nyaklánc szívvel, nőknek (IZ15123) | aEkszerek.hu",Arany 14K,rugós kapocs,Szívecskék,Női,1.27 gramm,"0,585",Sárga arany,Válassza ki a méretet,"7,5 mm",10 mm,
36170,https://www.aekszerek.hu//arany/nyaklancok/medallal/arany-nyaklanc-d-betuvel-p153939.html,"Arany nyaklánc D betűvel, nőknek (IZ23448D) | aEkszerek.hu",Arany 14K,rugós kapocs,betű,Női,1.02 gramm,"0,585",Sárga arany,,10 mm,11 mm,
45620,https://www.aekszerek.hu//arany/nyaklancok/noi/arany-nyaklanc-negylevelu-loherevel-p152193.html,"Arany nyaklánc négylevelű lóherével, nőknek (IZ22500) | aEkszerek.hu",Arany 14K,,Négylevelű lóherék,Női,1.28 gramm,"0,585",Sárga arany,Válassza ki a méretet,9 mm,,
30230,https://www.aekszerek.hu//arany/nyaklancok/noi/arany-nyaklanc-a-betuvel-p156188.html,"Arany nyaklánc A betűvel, nőknek (IZ24447A) | aEkszerek.hu",Arany 14K,rugós kapocs,betű,Női,0.50 gramm,"0,585",Sárga arany,Válassza ki a méretet,5 mm,6 mm,
60920,https://www.aekszerek.hu//arany/gyemant/nyaklancok/feherarany-nyaklanc-gyemantokkal-0-010-ct-sziv-2-p153788.html,"Fehérarany nyaklánc gyémántokkal 0,010 ct Szív 2, nőknek (IZBR539AHR) | aEkszerek.hu",Arany 9K,rugós kapocs,Szívecskék,Női,1.06 gramm,"0,375",Fehér arany,Válassza ki a méretet,"9,5 mm",8 mm,"Brilliáns, Gyémánt"
71390,https://www.aekszerek.hu//arany/nyaklancok/medallal/arany-nyaklanc-sziv-medallal-p131040.html,"Arany nyaklánc szív medállal, nőknek (IZ14515) | aEkszerek.hu",Arany 14K,rugós kapocs,Szívecskék,Női,2.15 gramm,"0,585",Sárga arany,Válassza ki a méretet,7 mm,6 mm,
